24mer_ProbeName,Nucleotide
probe1413,1
probe0440,2
probe1643,3
probe1957,4
probe1518,5
probe1421,6
probe1873,7
probe2039,8
probe1538,9
probe1915,10
probe1055,11
probe0851,12
probe1731,13
probe1472,14
probe0456,15
probe0699,16
probe0238,17
probe1151,18
probe0881,19
probe0294,20
probe0659,21
probe0751,22
probe0254,23
probe1161,24
probe1815,25
probe0528,26
probe0184,27
probe0055,28
probe1562,29
probe0478,30
probe0709,31
probe1248,32
probe0394,33
probe0687,34
probe0232,35
probe0081,36
probe0611,37
probe0741,38
probe0777,39
probe0783,40
probe0787,41
probe1721,42
probe1468,43
probe1889,44
probe0542,45
probe1665,46
probe0991,47
probe0837,48
probe0807,49
probe0793,50
probe0789,51
probe1723,52
probe1979,53
probe2073,54
probe2088,55
probe1552,56
probe1923,57
probe0548,58
probe1669,59
probe0504,60
probe0172,61
probe0641,62
probe1242,63
probe1362,64
probe0422,65
probe0147,66
probe1135,67
probe0368,68
probe0123,69
probe1129,70
probe0364,71
probe1629,72
probe1444,73
probe1883,74
probe2045,75
probe1093,76
probe1799,77
probe1023,78
probe0847,79
probe1274,80
probe1368,81
probe0426,82
probe0151,83
probe1137,84
probe1809,85
probe1027,86
probe0340,87
probe1179,88
probe0889,89
probe1276,90
probe1370,91
probe1858,92
probe0536,93
probe1661,94
probe1965,95
probe0554,96
probe0192,97
probe1593,98
probe1434,99
probe0446,100
probe0159,101
probe0637,102
probe0747,103
probe1252,104
probe0907,105
probe1282,106
probe1374,107
probe1400,108
probe1868,109
probe2036,110
probe0572,111
probe0194,112
probe0059,113
probe0019,114
probe0599,115
probe0737,116
probe0775,117
probe0264,118
probe0091,119
probe0029,120
probe1111,121
probe1803,122
probe1025,123
probe0338,124
probe0115,125
probe0621,126
probe1236,127
probe0388,128
probe0685,129
probe0230,130
probe0079,131
probe0027,132
probe1109,133
probe1324,134
probe1844,135
probe1037,136
probe1308,137
probe0412,138
probe1635,139
probe0496,140
probe0717,141
probe0769,142
probe0781,143
probe0785,144
probe1719,145
probe1009,146
probe1779,147
probe1017,148
probe0845,149
probe0284,150
probe1609,151
probe1941,152
probe1061,153
probe0855,154
probe0286,155
probe0099,156
probe1574,157
probe1931,158
probe2061,159
probe1540,160
probe1425,161
probe1875,162
probe2041,163
probe2084,164
probe1548,165
probe1427,166
probe0953,167
probe0316,168
probe1615,169
probe1945,170
probe2067,171
probe0583,172
probe1226,173
probe0901,174
probe1753,175
probe1478,176
probe0961,177
probe0831,178
probe0801,179
probe0274,180
probe0655,181
probe1693,182
probe1464,183
probe1887,184
probe2049,185
probe0575,186
probe0196,187
probe1143,188
probe0879,189
probe1743,190
probe1991,191
probe0560,192
probe0723,193
probe0244,194
probe0083,195
probe0613,196
probe0206,197
probe0067,198
probe1564,199
probe1431,200
probe0444,201
probe1645,202
probe0500,203
probe0719,204
probe1703,205
probe0510,206
probe0176,207
probe1589,208
probe0983,209
probe1771,210
probe1015,211
probe1302,212
probe0410,213
probe0693,214
probe0761,215
probe1713,216
probe1973,217
probe1071,218
probe1316,219
probe0414,220
probe1637,221
probe0498,222
probe1203,223
probe1348,224
probe0420,225
probe1639,226
probe1953,227
probe1065,228
probe0857,229
probe0288,230
probe1169,231
probe1821,232
probe2013,233
probe0566,234
probe1221,235
probe1356,236
probe0931,237
probe1757,238
probe1480,239
probe0458,240
probe1197,241
probe1344,242
probe1852,243
probe2030,244
probe1536,245
probe0971,246
probe0324,247
probe0667,248
probe0755,249
probe0779,250
probe0266,251
probe1163,252
probe1817,253
probe1031,254
probe1783,255
probe1019,256
probe1304,257
probe1380,258
probe1862,259
probe0538,260
probe1663,261
probe1452,262
probe1409,263
probe0438,264
probe0157,265
probe0045,266
probe1113,267
probe0869,268
probe1735,269
probe1983,270
probe1075,271
probe0352,272
probe0677,273
probe0226,274
probe1149,275
probe1811,276
probe1029,277
probe0342,278
probe0117,279
probe1127,280
probe1807,281
probe2009,282
probe0564,283
probe1219,284
probe0384,285
probe0683,286
probe0759,287
probe0258,288
probe1603,289
probe0490,290
probe0168,291
probe0639,292
probe1240,293
probe0390,294
probe0133,295
probe0037,296
probe0013,297
probe1556,298
probe1927,299
probe2059,300
probe1101,301
probe0362,302
probe1627,303
probe1442,304
probe1405,305
probe0943,306
probe0827,307
probe0282,308
probe1167,309
probe0885,310
probe0817,311
probe0797,312
probe0270,313
probe1165,314
probe1819,315
probe1494,316
probe0464,317
probe1649,318
probe0502,319
probe0170,320
probe0051,321
probe0017,322
probe1107,323
probe0867,324
probe0815,325
probe1262,326
probe1838,327
probe2022,328
probe2082,329
probe0589,330
probe0198,331
probe0061,332
probe1117,333
probe1326,334
probe0925,335
probe0825,336
probe1725,337
probe1470,338
probe1891,339
probe1047,340
probe1787,341
probe0522,342
probe0180,343
probe1141,344
probe1332,345
probe0416,346
probe0145,347
probe0041,348
probe1558,349
probe1429,350
probe1877,351
probe2043,352
probe1091,353
probe1320,354
probe0923,355
probe0306,356
probe1173,357
probe1825,358
probe1496,359
probe1901,360
probe1049,361
probe0350,362
probe0675,363
probe1695,364
probe0508,365
probe0721,366
probe1705,367
probe1005,368
probe0332,369
probe0673,370
probe0224,371
probe1147,372
probe1336,373
probe0927,374
probe0308,375
probe0663,376
probe1246,377
probe0392,378
probe0135,379
probe0627,380
probe0743,381
probe1711,382
probe1466,383
probe1411,384
probe1402,385
probe1870,386
probe1041,387
probe0346,388
probe0119,389
probe1582,390
probe1935,391
probe1512,392
probe1907,393
probe1504,394
probe1415,395
probe0947,396
probe1288,397
probe1376,398
probe1860,399
probe1039,400
probe0344,401
probe1619,402
probe1947,403
probe2069,404
probe0585,405
probe0731,406
probe1707,407
probe1007,408
probe0334,409
probe1617,410
probe1438,411
probe1881,412
probe1045,413
probe0348,414
probe0121,415
probe0035,416
probe0011,417
probe0595,418
probe0202,419
probe0647,420
probe1687,421
probe1001,422
probe0841,423
probe1272,424
probe0400,425
probe0691,426
probe1697,427
probe1969,428
probe1069,429
probe1314,430
probe1386,431
probe1864,432
probe0540,433
probe0188,434
probe0645,435
probe0216,436
probe0073,437
probe1121,438
probe1805,439
probe2007,440
probe1087,441
probe1795,442
probe1490,443
probe0462,444
probe0701,445
probe0763,446
probe0260,447
probe0653,448
probe1691,449
probe1462,450
probe0454,451
probe1195,452
probe0378,453
probe1633,454
probe1446,455
probe0448,456
probe0695,457
probe1699,458
probe1003,459
probe0843,460
probe1727,461
probe1011,462
probe0336,463
probe0113,464
probe1125,465
probe0877,466
probe1741,467
probe1989,468
probe1077,469
probe0861,470
probe0811,471
probe1260,472
probe0909,473
probe0300,474
probe0661,475
probe1244,476
probe1834,477
probe0530,478
probe1213,479
probe1827,480
probe2015,481
probe2079,482
probe1546,483
probe1919,484
probe0546,485
probe1215,486
probe1829,487
probe2017,488
probe1530,489
probe1913,490
probe1506,491
probe1903,492
probe1502,493
probe0965,494
probe1767,495
probe1013,496
probe1300,497
probe0408,498
probe0143,499
probe1133,500
probe0366,501
probe0679,502
probe0228,503
probe1597,504
probe0987,505
probe0835,506
probe0805,507
probe0278,508
probe1607,509
probe1436,510
probe1879,511
probe1043,512
probe0849,513
probe1729,514
probe0514,515
probe0178,516
probe1139,517
probe1330,518
probe1846,519
probe2026,520
probe1534,521
probe0474,522
probe1651,523
probe1959,524
probe0550,525
probe0190,526
probe0057,527
probe0607,528
probe1234,529
probe0903,530
probe0298,531
probe1171,532
probe1823,533
probe1033,534
probe1785,535
probe2003,536
probe0562,537
probe1675,538
probe1456,539
probe0450,540
probe0697,541
probe0236,542
probe0651,543
probe0749,544
probe1254,545
probe1836,546
probe1035,547
probe1306,548
probe1382,549
probe0937,550
probe1761,551
probe1484,552
probe1897,553
probe2053,554
probe0577,555
probe0729,556
probe0246,557
probe1601,558
probe0488,559
probe0713,560
probe1250,561
probe0905,562
probe1755,563
probe1997,564
probe1083,565
probe0354,566
probe1621,567
probe1949,568
probe1063,569
probe1793,570
probe2005,571
probe1085,572
probe1318,573
probe1842,574
probe2024,575
probe1532,576
probe0472,577
probe0705,578
probe0240,579
probe1153,580
probe0883,581
probe1745,582
probe1474,583
probe1893,584
probe2051,585
probe1097,586
probe0358,587
probe1181,588
probe0891,589
probe1278,590
probe1372,591
probe0428,592
probe0153,593
probe0635,594
probe0745,595
probe0252,596
probe0085,597
probe1568,598
probe0480,599
probe0166,600
probe0049,601
probe1115,602
probe0871,603
probe0292,604
probe0657,605
probe0218,606
probe0075,607
probe0609,608
probe0204,609
probe0065,610
probe0023,611
probe0005,612
probe1554,613
probe1925,614
probe1508,615
probe0470,616
probe0703,617
probe1701,618
probe1971,619
probe1522,620
probe1423,621
probe0442,622
probe1193,623
probe0895,624
probe1747,625
probe1476,626
probe1895,627
probe0544,628
probe1667,629
probe1967,630
probe1067,631
probe1312,632
probe1384,633
probe0430,634
probe0155,635
probe0043,636
probe0015,637
probe0597,638
probe0735,639
probe1709,640
probe0512,641
probe1205,642
probe0897,643
probe1749,644
probe1993,645
probe1079,646
probe0863,647
probe0290,648
probe0101,649
probe1576,650
probe1933,651
probe2063,652
probe1542,653
probe0973,654
probe1769,655
probe0516,656
probe1207,657
probe1350,658
probe0929,659
probe1286,660
probe0404,661
probe1185,662
probe1338,663
probe0418,664
probe1187,665
probe0893,666
probe1280,667
probe0402,668
probe0139,669
probe0629,670
probe1681,671
probe0997,672
probe1298,673
probe0406,674
probe0141,675
probe0631,676
probe1683,677
probe0999,678
probe0839,679
probe1270,680
probe0913,681
probe0819,682
probe1264,683
probe0911,684
probe0302,685
probe1611,686
probe0492,687
probe1201,688
probe0380,689
probe1183,690
probe0376,691
probe0127,692
probe1584,693
probe0482,694
probe0711,695
probe0242,696
probe1155,697
probe1813,698
probe2011,699
probe1528,700
probe1911,701
probe1053,702
probe1791,703
probe1021,704
probe1781,705
probe1488,706
probe1899,707
probe1500,708
probe0468,709
probe0163,710
probe0047,711
probe0605,712
probe0739,713
probe0250,714
probe1159,715
probe0372,716
probe1631,717
probe0494,718
probe0715,719
probe0767,720
probe0262,721
probe0089,722
probe0615,723
probe0208,724
probe1595,725
probe0484,726
probe1653,727
probe1961,728
probe1520,729
probe1909,730
probe2055,731
probe0579,732
probe1677,733
probe0995,734
probe1777,735
probe0520,736
probe1657,737
probe0989,738
probe1773,739
probe1486,740
probe0460,741
probe1199,742
probe1346,743
probe1394,744
probe0941,745
probe0312,746
probe0107,747
probe0033,748
probe0601,749
probe1230,750
probe1832,751
probe2020,752
probe1089,753
probe1797,754
probe0526,755
probe0182,756
probe1591,757
probe0985,758
probe0833,759
probe0803,760
probe0276,761
probe0095,762
probe1572,763
probe1929,764
probe1510,765
probe1905,766
probe1051,767
probe1789,768
probe0524,769
probe1211,770
probe0382,771
probe0129,772
probe0623,773
probe1238,774
probe1360,775
probe0933,776
probe0310,777
probe0105,778
probe1578,779
probe0979,780
probe0328,781
probe1177,782
probe0374,783
probe0681,784
probe0757,785
probe0256,786
probe0087,787
probe1570,788
probe0977,789
probe1296,790
probe0919,791
probe1284,792
probe0915,793
probe0304,794
probe1613,795
probe1943,796
probe1514,797
probe1417,798
probe0949,799
probe0829,800
probe1268,801
probe1366,802
probe0424,803
probe0149,804
probe0633,805
probe1685,806
probe0506,807
probe0174,808
probe0053,809
probe1560,810
probe0476,811
probe0707,812
probe0765,813
probe1715,814
probe1975,815
probe0556,816
probe1673,817
probe0993,818
probe1775,819
probe0518,820
probe1209,821
probe1352,822
probe1854,823
probe0534,824
probe0186,825
probe0643,826
probe0214,827
probe1145,828
probe1334,829
probe1848,830
probe2028,831
probe0568,832
probe0725,833
probe0771,834
probe1258,835
probe0398,836
probe0137,837
probe0039,838
probe0603,839
probe1232,840
probe1358,841
probe1856,842
probe2032,843
probe0570,844
probe0727,845
probe0773,846
probe1717,847
probe1977,848
probe1524,849
probe0967,850
probe1292,851
probe1378,852
probe0935,853
probe1759,854
probe1482,855
probe0963,856
probe0322,857
probe0665,858
probe0753,859
probe1256,860
probe0396,861
probe0689,862
probe0234,863
probe1599,864
probe0486,865
probe1655,866
probe1963,867
probe0552,868
probe1671,869
probe1454,870
probe0959,871
probe0320,872
probe1175,873
probe0887,874
probe0296,875
probe0103,876
probe0617,877
probe1679,878
probe1458,879
probe1885,880
probe2047,881
probe1095,882
probe0356,883
probe1623,884
probe1440,885
probe0955,886
probe1765,887
probe2001,888
probe2077,889
probe0587,890
probe1228,891
probe0386,892
probe0131,893
probe0625,894
probe0212,895
probe0071,896
probe1566,897
probe0975,898
probe0326,899
probe0669,900
probe0220,901
probe0077,902
probe0025,903
probe0007,904
probe0001,905
probe1105,906
probe1322,907
probe1388,908
probe0432,909
probe1189,910
probe1340,911
probe1850,912
probe1498,913
probe0466,914
probe0161,915
probe1586,916
probe1937,917
probe2065,918
probe0581,919
probe1224,920
probe0899,921
probe1751,922
probe1995,923
probe1081,924
probe0865,925
probe0813,926
probe0280,927
probe0097,928
probe0031,929
probe0009,930
